# TRULY FARMABLE ETC ITEMS
# Criteria:
#   - Drop rate >= 20% (2000/10000)
#   - Mob actually spawns in npc/pre-re/mobs/
#   - Item NOT given by any NPC
#   - Item from db/pre-re/item_db_etc.yml
# Total: 262 items
#
# Format: ItemID,ItemName,MobCount,TotalSpawns,BestDropRate
# ============================================================

919,Animal Skin,13,1688,9000
7054,Brigan,24,1240,5335
955,Worm Peeling,10,1171,9000
921,Mushroom Spore,5,914,9000
1032,Maneater Blossom,5,912,9000
912,Zargon,16,873,5000
1033,Maneater Root,5,759,5500
932,Skel-Bone,9,716,8000
7053,Cyfar,14,697,5335
7317,Rusty Screw,7,670,5000
962,Tentacle,3,637,8000
1036,Dragon Scale,7,613,5335
7033,Poison Spore,3,594,9000
916,Feather of Birds,4,591,9000
7312,Jubilee,3,550,5000
915,Chrysalis,2,488,5500
928,Insect Feeler,2,470,5500
943,Solid Shell,6,466,5335
1057,Moth Dust,2,465,9000
913,Tooth of Bat,2,465,5500
7752,Clattering Skull,3,452,3000
949,Feather,5,442,3000
1061,Witched Starsand,4,410,5000
7325,Flexible Tube,2,410,4000
958,Horrendous Mouth,3,401,6000
1035,Dragon Canine,6,391,5335
7798,Fragment of Darkness,5,382,9000
7001,Mould Powder,3,378,5335
967,Turtle Shell,6,372,4413
937,Venom Canine,2,364,9000
1052,Single Cell,3,360,9000
1034,Blue Hair,5,357,6305
920,Wolf Claw,3,349,9000
7097,Burning Heart,7,347,4850
1056,Grit,2,340,5335
7319,Used Iron Plate,6,336,5000
7003,Anolian Skin,2,330,4850
7188,Brown Root,4,327,4000
7100,Sharp Leaf,4,318,5000
926,Snake Scale,3,314,9000
1055,Earthworm Peeling,4,313,9000
7006,Wing of Red Bat,2,305,5500
7565,Sticky Poison,2,305,3000
7564,Rotten Meat,2,300,3000
1031,Mantis Scythe,2,299,9000
940,Grasshopper's Leg,3,298,9000
947,Horn,1,291,5500
950,Heart of Mermaid,2,290,9000
1019,Trunk,3,288,3200
7345,Handcuffs,5,283,3000
7071,Tattered Clothes,3,280,4413
7568,White Mask,4,277,2500
7201,Log,3,273,5000
7198,Huge Leaf,3,273,4365
7031,Old Frying Pan,1,271,9000
7753,Broken Farming Utensil,1,252,3000
954,Shining Scale,2,249,5335
948,Bear's Footskin,4,248,9000
1028,Mane,2,248,9000
930,Rotten Bandage,5,243,9000
939,Bee Sting,2,240,9000
1017,Mole Whiskers,2,240,9000
7190,Solid Husk,1,240,6500
7030,Claw of Desert Wolf,1,240,5500
7202,Pincher of Beetle,1,240,4500
924,Powder of Butterfly,3,236,9000
907,Resin,2,236,9000
911,Scell,6,235,9000
1059,Fabric,5,230,5820
1042,Bug Leg,4,230,5335
7563,Bloody Rune,5,229,7000
7561,Glacial Heart,3,221,5000
1027,Porcupine Quill,1,216,9000
1038,Little Evil Horn,3,206,5820
904,Scorpion Tail,2,205,5500
952,Cactus Needle,1,200,9000
7119,Bacillus,2,198,4074
1095,Needle of Alarm,3,193,5335
1060,Golden Hair,2,191,9000
7203,Strong Branch,2,191,5000
7567,Suspicious Hat,2,190,2500
7115,Harpy Feather,2,189,4850
7116,Harpy Talon,2,189,3000
7124,Sand Clump,1,180,4947
997,Great Nature,1,180,2500
1021,Dokebi Horn,2,171,9000
945,Raccoon Leaf,1,165,5500
7751,Old White Cloth,2,161,3000
925,Bill of Birds,1,155,9000
1013,Rainbow Shell,1,155,9000
941,Nose Ring,2,155,5335
7013,Coral Reef,1,153,4850
917,Talon,2,150,9000
1018,Mole Claw,1,150,5000
1096,Round Shell,1,150,3500
7122,Burning Hair,3,150,3200
7347,Research Chart,3,148,2000
942,Yoyo Tail,2,145,9000
1016,Rat Tail,1,145,9000
7120,Burning Horseshoe,2,139,4947
7066,Ice Cubic,3,138,4365
1012,Frill,2,136,7500
7012,Tough Scalelike Stem,1,135,5335
1025,Cobweb,2,133,9000
7069,Destroyed Armor,3,132,3000
7005,Skull,3,131,5000
902,Tree Root,1,130,9000
1068,Barren Trunk,1,130,3500
7063,Soft Feather,2,130,3000
1067,Solid Trunk,1,130,2000
7123,Dragon Skin,3,121,4074
7002,Ogre Tooth,1,121,2500
946,Snail's Shell,1,120,9000
944,Horseshoe,2,120,6000
7298,Fig Leaf,1,118,5335
1037,Dragon Tail,2,118,3880
7095,Metal Fragment,3,115,5335
7094,Fragment,3,115,3000
7511,Rune of Darkness,4,112,6000
7027,Key of Underground,2,112,3000
1040,Elder Pixie's Moustache,2,111,5500
936,Scale Shell,2,110,5335
7106,Antelope Horn,1,105,4559
7321,Crystal Fragment,2,105,3000
7107,Antelope Skin,1,105,2500
7099,Worn-out Magic Scroll,1,104,4000
7110,Broken Sword,2,101,4365
7301,Tassel,1,100,4850
7064,Wing of Dragonfly,1,100,4413
965,Clam Shell,2,95,5500
7186,Thin Trunk,1,95,3880
7121,Honey Pot,1,95,2500
7194,Soft Blade of Grass,1,95,2000
7197,Tough Vines,2,91,5335
7171,Leopard Skin,2,91,5200
7172,Leopard Claw,2,91,3200
906,Pointed Scale,1,90,5500
961,Conch,1,90,5500
1041,Lantern,1,90,5500
1045,Cultish Masque,2,90,4365
7196,Shoulder Protector,1,90,4000
7007,Claw of Rat,1,84,4656
7101,Peco Peco Feather,1,83,4850
7189,Wooden Heart,1,82,4000
